Fecha,prov_residencia_persona_en_situacion_violencia,genero_persona_en_situacion_de_violencia,edad_persona_en_situacion_de_violencia,pais_nacimiento_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,modalidad_de_violencia_institucional,modalidad_de_violencia_laboral,modalidad_violencia_contra_libertad_reproductiva,modalidad_de_violencia_obstetrica,modalidad_de_violencia_mediatica,modalidad_de_violencia_otras,vinculo_con_la_persona_agresora,genero_de_la_persona_agresora
1/1/2022,Jujuy,Mujer,22,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/1/2022,Tucumán,Mujer,48,Argentina,Si,Si,Si,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/1/2022,Buenos Aires,Mujer,25,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/1/2022,Buenos Aires,Mujer,31,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/1/2022,Buenos Aires,Mujer,28,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/1/2022,San Luis,Mujer,42,Argentina,Si,Si,No,No,Si,No,No,Si,No,No,No,No,Superior jerarquico,Varon
1/1/2022,Buenos Aires,Mujer,25,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/1/2022,Río Negro,Mujer,22,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/1/2022,Buenos Aires,Mujer,27,Argentina,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/1/2022,Santa Fe,Mujer,33,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/1/2022,Buenos Aires,Mujer,66,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/1/2022,Buenos Aires,Mujer,35,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/1/2022,Buenos Aires,Mujer,36,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/1/2022,Buenos Aires,Mujer,33,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/1/2022,La Rioja,Mujer,24,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/1/2022,Buenos Aires,Mujer,28,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/1/2022,Buenos Aires,Mujer,27,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/1/2022,Buenos Aires,Mujer,49,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
1/1/2022,Buenos Aires,Mujer,24,Argentina,No,Si,Si,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/1/2022,Buenos Aires,Mujer,39,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/1/2022,Ciudad Autónoma de Buenos Aires,Mujer,27,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/1/2022,Buenos Aires,Mujer,30,Colombiana,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/1/2022,Buenos Aires,Mujer,41,Colombiana,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/1/2022,Ciudad Autónoma de Buenos Aires,Mujer,37,Colombiana,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/1/2022,Buenos Aires,Mujer,37,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/1/2022,Ciudad Autónoma de Buenos Aires,Mujer,35,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/1/2022,Ciudad Autónoma de Buenos Aires,Mujer,94,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Mujer
1/1/2022,Ciudad Autónoma de Buenos Aires,Mujer,55,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/2/2022,Buenos Aires,Mujer,69,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
1/2/2022,Santa Fe,Mujer,25,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/2/2022,Jujuy,Mujer,22,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Tucumán,Mujer,36,Argentina,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,25,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Chaco,Mujer,66,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Otro,Varon
1/2/2022,San Juan,Mujer,52,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/2/2022,Mendoza,Mujer,35,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/2/2022,Buenos Aires,Mujer,42,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/2/2022,Santa Fe,Mujer,44,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,29,Paraguaya,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Misiones,Mujer,27,Paraguaya,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/2/2022,Buenos Aires,Mujer,30,Paraguaya,No,Si,No,No,Si,No,No,No,No,No,No,No,Otro,Varon
1/2/2022,Buenos Aires,Mujer,35,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/2/2022,Tucumán,Mujer,24,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,58,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Jujuy,Mujer,20,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,27,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,24,Argentina,Si,Si,Si,No,Si,Si,No,No,No,No,No,No,Otro,Varon
1/2/2022,Tucumán,Mujer,28,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/2/2022,Buenos Aires,Mujer,34,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,68,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Río Negro,Mujer,42,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Santa Fe,Mujer,24,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,42,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,San Juan,Mujer,39,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/2/2022,Buenos Aires,Mujer,47,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Corrientes,Mujer,30,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Mendoza,Mujer,51,Argentina,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,20,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,34,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,45,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/2/2022,Buenos Aires,Mujer,34,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,43,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/2/2022,Buenos Aires,Mujer,39,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,31,Argentina,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,14,Argentina,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,26,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,29,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,26,Argentina,No,Si,No,Si,Si,Si,Si,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,59,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/2/2022,Buenos Aires,Mujer,33,Argentina,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,40,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Ciudad Autónoma de Buenos Aires,Mujer,39,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Superior jerarquico,Varon
1/2/2022,Ciudad Autónoma de Buenos Aires,Mujer,30,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/2/2022,Ciudad Autónoma de Buenos Aires,Mujer,52,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/2/2022,Buenos Aires,Mujer,40,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Ciudad Autónoma de Buenos Aires,Mujer,85,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Buenos Aires,Mujer,45,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/2/2022,Ciudad Autónoma de Buenos Aires,Mujer,50,Peruana,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Ciudad Autónoma de Buenos Aires,Mujer,30,Peruana,No,Si,No,No,No,Si,No,No,No,No,No,No,Superior jerarquico,Varon
1/2/2022,Ciudad Autónoma de Buenos Aires,Mujer,47,Peruana,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/2/2022,Ciudad Autónoma de Buenos Aires,Mujer,35,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/2/2022,Ciudad Autónoma de Buenos Aires,Mujer,34,Argentina,No,Si,Si,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/2/2022,Ciudad Autónoma de Buenos Aires,Mujer,54,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro,Varon
1/2/2022,Buenos Aires,Mujer,54,Argentina,No,No,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Buenos Aires,Mujer,26,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Buenos Aires,Mujer,44,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Buenos Aires,Mujer,27,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Chubut,Mujer,12,Argentina,Si,Si,Si,No,No,Si,No,No,No,No,No,No,Otro,Varon
1/3/2022,Santa Fe,Mujer,34,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Chaco,Mujer,29,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Superior jerarquico,Varon
1/3/2022,Salta,Mujer,38,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,La Rioja,Mujer,27,Paraguaya,No,No,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Buenos Aires,Mujer,49,Paraguaya,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Tucumán,Mujer,27,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Buenos Aires,Mujer,36,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Buenos Aires,Mujer,35,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Buenos Aires,Mujer,42,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Mendoza,Mujer,24,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Buenos Aires,Mujer,21,Argentina,No,No,No,No,Si,No,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Mendoza,Mujer,41,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Buenos Aires,Mujer,35,Paraguaya,No,Si,No,No,No,No,No,No,No,No,No,No,Superior jerarquico,Varon
1/3/2022,Buenos Aires,Mujer,33,Paraguaya,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Cordoba,Mujer,56,Paraguaya,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Buenos Aires,Mujer,57,Paraguaya,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Santiago Del Estero,Mujer,25,Paraguaya,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Buenos Aires,Mujer,33,Paraguaya,No,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Buenos Aires,Mujer,18,Paraguaya,No,No,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Buenos Aires,Mujer,67,Paraguaya,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
1/3/2022,Buenos Aires,Mujer,41,Paraguaya,No,No,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Buenos Aires,Mujer,35,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Buenos Aires,Mujer,32,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
1/3/2022,Buenos Aires,Mujer,41,Argentina,Si,Si,Si,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Buenos Aires,Mujer,20,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Buenos Aires,Mujer,64,Argentina,No,Si,No,Si,Si,No,No,No,No,No,No,No,Otro,Varon
1/3/2022,Buenos Aires,Mujer,28,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Buenos Aires,Mujer,38,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Buenos Aires,Mujer,34,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Buenos Aires,Mujer,28,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
1/3/2022,Buenos Aires,Mujer,21,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Buenos Aires,Mujer,20,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
1/3/2022,Buenos Aires,Mujer,71,Dominicana,Si,Si,Si,No,No,No,No,No,No,No,No,No,Otro,Varon
1/3/2022,Buenos Aires,Mujer,43,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Buenos Aires,Mujer,17,Argentina,No,Si,Si,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Buenos Aires,Mujer,26,Argentina,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Buenos Aires,Mujer,39,Argentina,No,Si,Si,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Buenos Aires,Mujer,18,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Buenos Aires,Mujer,17,Argentina,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Buenos Aires,Mujer,25,Boliviana,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Buenos Aires,Mujer,31,Boliviana,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Buenos Aires,Mujer,36,Boliviana,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Ciudad Autónoma de Buenos Aires,Mujer,26,Boliviana,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Ciudad Autónoma de Buenos Aires,Mujer,37,Boliviana,No,Si,Si,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Ciudad Autónoma de Buenos Aires,Mujer,41,Boliviana,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Ciudad Autónoma de Buenos Aires,Mujer,33,Colombiana,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/3/2022,Ciudad Autónoma de Buenos Aires,Mujer,80,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/3/2022,Ciudad Autónoma de Buenos Aires,Mujer,47,Argentina,No,No,Si,No,No,Si,No,No,No,No,No,Si,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,37,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/4/2022,Tucumán,Mujer,32,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Mendoza,Mujer,41,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/4/2022,Catamarca,Mujer,60,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
1/4/2022,Buenos Aires,Mujer,31,Paraguaya,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,28,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/4/2022,Buenos Aires,Mujer,27,Argentina,No,No,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,44,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,26,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,35,Peruana,No,No,No,No,Si,No,No,No,No,No,No,No,Pareja,Varon
1/4/2022,Buenos Aires,Mujer,24,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/4/2022,Neuquén,Mujer,23,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,45,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,28,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Mendoza,Mujer,33,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,29,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/4/2022,Buenos Aires,Mujer,31,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Misiones,Mujer,41,Argentina,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,43,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Jujuy,Mujer,29,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Superior jerarquico,Varon
1/4/2022,Chubut,Mujer,38,Argentina,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/4/2022,Santiago Del Estero,Mujer,50,Argentina,Si,Si,Si,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Tucumán,Mujer,26,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,56,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,62,Argentina,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Otro familiar,Varon
1/4/2022,Buenos Aires,Mujer,26,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,28,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,21,Argentina,Si,Si,Si,Si,Si,Si,No,No,Si,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,28,Argentina,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
1/4/2022,Buenos Aires,Mujer,23,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,38,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,45,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,67,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/4/2022,Buenos Aires,Mujer,48,Paraguaya,Si,Si,No,No,No,No,No,No,No,No,No,No,Otro,Mujer
1/4/2022,Buenos Aires,Mujer,24,Paraguaya,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,20,Paraguaya,No,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,35,Paraguaya,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Buenos Aires,Mujer,57,Paraguaya,No,Si,No,No,Si,Si,No,No,No,No,No,No,Otro familiar,Varon
1/4/2022,Buenos Aires,Mujer,33,Paraguaya,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/4/2022,Buenos Aires,Mujer,31,Paraguaya,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Ciudad Autónoma de Buenos Aires,Mujer,19,Paraguaya,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Ciudad Autónoma de Buenos Aires,Mujer,27,Venezolana,No,Si,No,No,No,Si,No,No,No,No,No,Si,Ex pareja,Varon
1/4/2022,Ciudad Autónoma de Buenos Aires,Mujer,39,Venezolana,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/4/2022,Ciudad Autónoma de Buenos Aires,Mujer,50,Venezolana,No,Si,Si,No,No,No,No,No,No,No,No,Si,Otro,Varon
1/4/2022,Ciudad Autónoma de Buenos Aires,Mujer,38,Venezolana,Si,Si,Si,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
1/4/2022,Ciudad Autónoma de Buenos Aires,Mujer,63,Venezolana,Si,No,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/5/2022,Buenos Aires,Mujer,40,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
1/5/2022,Cordoba,Mujer,34,Argentina,No,Si,Si,No,No,Si,No,No,No,No,No,No,Otro,Varon
1/5/2022,Buenos Aires,Mujer,27,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
1/5/2022,Buenos Aires,Mujer,31,Argentina,Si,Si,Si,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
